"Item";"Valor U";"Qtd";"Valor T";
"LED Difuso 5mm Amarelo";R$ 0,25;4;R$ 1,00;"https://www.baudaeletronica.com.br/produto/led-de-alto-brilho-3mm-amarelo.html"
"Resistor 220R 5% (1/4W)";R$ 0,08;8;R$ 0,64;"https://www.baudaeletronica.com.br/produto/resistor-220r-5-14w.html"
"Arduino Uno R3 Cabo USB 2.0 - A-B";R$ 88,90;1;R$ 88,90;"https://www.baudaeletronica.com.br/produto/arduino-uno-r3.html"
"Fonte Bivolt 12V 2A";R$ 15,90;1;R$ 15,90;"https://www.baudaeletronica.com.br/produto/fonte-bivolt-12v-1a.html"
"Módulo Relé 4 Canais (HL-54S V1.0)";R$ 25,00;1;R$ 25,00;"https://www.betacomercial.com.br/loja/produto/shield-modulo-rele-5v-4-canais"
"Botões (chave pushbutton N.A. S/Retencao 1A preta)";R$ 7,68;4;R$ 30,72;"https://www.betacomercial.com.br/loja/produto/chave-pushbutton-n-a-s-retencao-1a-preta"
"Caixa Plastica (PB 119/3)";R$ 32,12;1;R$ 32,12;"https://www.betacomercial.com.br/loja/produto/caixa-plastica-pb119-3-36-x-112-x-190"
"Barra de pino 1x40 180 graus";R$ 2,00;1;R$ 2,00;"https://www.betacomercial.com.br/loja/produto/barra-de-pino-1x40-180-graus"
;;;;
;;;R$ 196,28;
